SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,AG.LND.AGRI.ZS,EN.ATM.CO2E.KD.GD,SP.DYN.IMRT.IN,SH.DYN.MORT,SH.MED.PHYS.ZS,SH.MED.BEDS.ZS,AG.PRD.FOOD.XD,AG.PRD.CROP.XD,AG.PRD.LVSK.XD,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.STA.BRTC.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,EN.POP.DNST,VC.IHR.PSRC.P5,SH.H2O.BASW.ZS,SH.H2O.SMDW.ZS,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,SI.POV.GINI,SE.SEC.UNER.LO.ZS,SE.PRM.UNER.ZS,SE.XPD.TOTL.GD.ZS,SP.DYN.CBRT.IN,SH.XPD.GHED.GD.ZS,SH.XPD.PVTD.CH.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.PRV.SMOK,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS
76.58292683,4.753235989,34513.5615,2.188027197,1.443803419,45.18930097,0.454180018,7.2,8.6,2.2,3.599999905,93.72,92.18,95.82,2.0075,47.9068,99.4,21.8117417,65.78853853,12.39971976,1.148340047,30.46634116,5.6,,,,,,,,,14.2,,,96,88,92,,21.258,78.742,,100
76.63658537,4.127484014,36334.90878,3.376857271,2.235474409,45.23058486,0.451154026,7.1,8.4,2.5917,3.5,95.96,94.63,97.47,2.056,46.1652,99.4,21.70288017,65.96338057,12.33373927,1.112768997,30.79730133,5.5,,,99.96682066,88.19277139,40.3,,,,14.4,5.524876341,55.80990911,94,90,91,31.4,20.943,79.057,100,100
76.83658537,0.998340795,37133.24281,2.826171119,2.193425342,45.2900702,0.439014549,7,8.3,2.2,3.5,93.67,92.22,96.85,2.0305,44.4236,99.4,21.52850359,66.15756712,12.31392929,0.989741382,31.10362839,6.7,,,99.96700806,88.30727448,,,,,14.1,5.946035683,54.84964252,94,89,91,,20.766,79.234,100,100
76.93658537,1.74169525,38023.16111,1.586031627,1.581763007,45.08487304,0.435008856,6.9,8.2,2.3,3.400000095,94.09,88.45,98.85,2.0205,42.682,99.5,21.39623361,66.31220073,12.29156566,0.927797486,31.39354993,5.6,,,99.9671947,88.42129085,,,,,14,6.298086047,54.868716,94,88,91,,20.591,79.409,100,100
77.03658537,2.861210767,39496.48588,2.270094973,1.857095203,45.17884897,0.425486855,6.9,8.1,,3.3,95.66,92.33,99.09,2.0475,42.0618,99.3,21.26817124,66.45414817,12.27768059,0.859481713,31.66453462,5.7,,,99.96738298,88.53512604,,,,,14.1,6.492591649,55.08549213,96,92,93,,20.417,79.583,100,100
77.48780488,3.798891127,41712.80107,2.677236693,2.692212124,44.91645856,0.415719423,6.8,8.1,2.713,,100.53,103.82,97.93,2.0515,41.4416,99.3,21.09990668,66.61750777,12.28258556,0.925483969,31.95894507,5.5,,,99.96756854,88.64907574,40.5,,,,14,6.576983631,54.75735664,96,92,93,,20.243,79.757,100,100
77.48780488,3.513213797,44114.74778,3.392746845,3.114942343,44.94516433,0.403957959,6.7,8,2.9401,3.2,99.3,100,99.71,2.057,40.8214,99.4,20.88113423,66.80715428,12.31171149,0.921713167,32.2548766,5.7,99.2095857,98.94233211,99.96774957,88.76222799,,,,,14,6.599859893,54.6156168,96,93,92,27.9,20.072,79.928,100,100
77.68780488,2.854972292,46298.73144,3.225944101,3.026204651,44.66474413,0.386474445,6.7,7.9,2.402,3.1,100.18,96.18,102.35,2.108,40.2012,99.4,20.81752741,66.80155653,12.38091606,0.964253917,32.56739985,5.8,99.21436985,98.94710338,99.96793062,88.87549532,,,,,14.3,6.788922846,53.68714929,96,93,92,,19.901,80.099,100,100
77.98780488,1.876171458,47975.96768,2.852672482,2.686278862,45.06234433,0.385465928,6.6,7.7,2.41,3.1,104.84,102.83,103.09,2.12,39.581,99.3,20.68990787,66.83822395,12.47186818,0.951055243,32.87861136,5.7,99.2191312,98.9518519,99.96811583,88.98857764,41,,,,14.3,6.91094473,53.61481309,96,93,92,,19.731,80.269,100,100
78.03902439,-0.136579805,48382.55845,3.839100297,1.945131748,45.18351554,0.374330068,6.5,7.6,2.416,3.1,107.59,101.34,106.8,2.072,37.2522,99.3,20.52483888,66.88004652,12.5951146,0.945865287,33.24368685,5.4,99.22386088,98.95656884,99.96829605,89.10146831,,,,,14,7.248605788,52.60891318,96,94,92,,19.562,80.438,100,100
78.3902439,-2.536757066,47099.98047,-0.355546266,0.762349987,44.81708367,0.360087411,6.4,7.5,2.422,3.1,109.89,105.96,104.64,2.002,34.9234,99.3,20.35926719,66.87808434,12.76264847,0.876651299,33.53639923,5,99.22856237,98.96125766,99.9684752,89.21416499,,,,,13.5,7.893756032,51.70271993,95,92,90,,19.394,80.606,100,100
78.54146341,2.563766559,48466.82338,1.640043442,1.165250545,44.64933145,0.359892819,6.2,7.3,2.4383,3,110.27,105.92,105.98,1.931,32.5946,99.2,20.20480081,66.81342659,12.9817726,0.827846042,33.81566442,4.8,99.23320417,98.96588696,99.96864842,89.32636091,40.3,,,,13,7.965013385,51.46821737,95,92,92,24.8,19.228,80.772,100,100
78.64146341,1.550835506,49883.11398,3.156841569,2.088903777,44.23862821,0.347444019,6.1,7.2,2.4683,2.9,109.06,101.81,106.85,1.8945,30.2658,99.3,20.02513306,66.72460481,13.25026214,0.720017689,34.06206439,4.7,99.23801757,98.97068739,99.96883186,89.44050417,,,,,12.7,7.948321849,51.46446228,96,91,92,24.3,19.056,80.944,100,100
