SP.ADO.TFRT,ER.H2O.FWTL.ZS,SH.STA.BRTC.ZS,EN.ATM.CO2E.PC,SP.DYN.CONU.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,SP.DYN.TFRT.IN,AG.LND.FRST.K2,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,SH.IMM.MEAS,SI.DST.FRST.20,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.IN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SH.DYN.MORT,SM.POP.NETM,DT.ODA.ALLD.CD,BX.TRF.PWKR.CD.DT,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL,SI.POV.DDAY,SI.POV.NAHC,SH.DYN.AIDS.ZS,SH.STA.MALN.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,SE.SEC.ENRR,IQ.SCI.OVRL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,ER.PTD.TOTL.ZS,SP.URB.GROW
81.741,..,..,15.99977916,..,4049.786629,5641.740755,3.654,..,5.43E+11,..,..,..,..,..,..,..,..,69.77073171,8.619592573,0,30.1,..,..,..,..,1.701992777,180671000,..,..,..,..,..,..,..,..,..,..,..,..,2.449104465
79.185,..,..,15.68125552,..,4182.175501,5612.079503,3.62,..,5.63E+11,2.3,..,..,..,..,..,..,1.350153896,70.27073171,8.775733101,..,29.5,..,..,..,20.05587971,1.657730037,183691000,..,..,..,..,..,..,..,..,..,9629090,..,..,2.200570878
76.629,..,..,16.0139375,..,4433.606021,5774.586315,3.461,..,6.05E+11,6.1,3280,..,6.12E+11,..,..,..,1.244634712,70.1195122,8.944079228,..,28.9,1835728,..,..,20.36672286,1.537997358,186538000,..,..,..,..,..,..,..,..,..,9629090,..,..,2.076494302
74.6802,..,..,16.48276215,..,4690.486256,5986.783954,3.319,..,6.39E+11,4.4,3410,..,6.46E+11,..,..,..,1.088386011,69.91707317,8.465056048,..,28.3,..,..,..,20.66195289,1.439164762,189242000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.970559363
72.7314,..,..,16.96811858,..,4970.446456,6136.93823,3.19,..,6.86E+11,5.8,3610,..,6.92E+11,..,..,..,1.503939679,70.16585366,7.716868831,..,27.7,..,..,..,20.9509595,1.389046055,191889000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.913437108
70.7826,..,..,17.45172525,66.5,5234.685002,6307.890202,2.913,..,7.44E+11,6.4,3880,..,7.53E+11,..,..,..,1.919825811,70.21463415,7.206952894,0,27.1,..,..,..,21.21452654,1.250171646,194303000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.767653287
68.8338,..,..,18.12107301,..,5590.33374,6591.340558,2.721,..,8.15E+11,6.5,4190,..,8.24E+11,..,..,..,2.898778535,70.21219512,8.0708414,..,26.4,..,..,..,21.4609519,1.154893191,196560000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.665558704
66.885,..,..,18.59831788,..,5888.340915,6809.820484,2.558,..,8.62E+11,2.5,4370,..,8.68E+11,..,..,..,3.151279366,70.56097561,9.063367169,..,25.7,1556054,..,..,21.69591307,1.088881207,198712000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.592820422
65.7818,..,..,19.08938916,..,6385.459329,7073.478949,2.464,..,9.43E+11,4.8,4740,..,9.52E+11,..,..,..,4.367188241,69.95121951,8.873110952,..,24.9,..,..,..,21.91362338,0.998461044,200706000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.495762638
64.6786,..,..,19.85794566,..,6904.8338,7332.368547,2.456,..,1.02E+12,3.1,5070,..,1.03E+12,..,..,..,4.95848845,70.50731707,8.272944284,..,24.1,..,..,..,22.12882249,0.977242812,202677000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.467992726
63.5754,..,..,21.11125227,67.6,7236.657043,7569.076595,2.48,..,1.07E+12,-0.254079593,5230,..,1.07E+12,..,..,..,5.504166134,70.80731707,7.689700005,0,23.2,..,..,..,22.3881314,1.165002667,205052000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.531151622
62.4722,..,..,20.98020348,..,7517.304646,7644.524802,2.266,..,1.16E+12,3.293362378,5620,..,1.17E+12,..,..,..,5.069156579,71.10731707,6.643475174,..,22.4,..,..,..,22.67298907,1.264333692,207661000,..,..,..,..,..,..,..,..,..,9629090,..,..,1.279277894
61.369,..,..,21.74864198,..,8076.409269,7940.997832,2.01,..,1.28E+12,5.258895358,6280,..,1.32E+12,..,..,..,4.322763324,71.15609756,6.271831327,..,21.5,2889346,..,..,22.91701241,1.070522752,209896000,..,..,..,..,..,..,..,..,..,9629090,11.8199373,..,1.084106289
59.642,..,..,22.51058213,69.6,8573.194154,8163.603792,1.879,..,1.43E+12,5.64571947,7290,..,1.54E+12,..,..,..,5.479883799,71.35609756,5.668750181,..,20.6,..,..,..,23.13679719,0.954476729,211909000,..,..,..,..,..,..,..,..,..,9629090,11.49521249,..,0.968058589
57.915,..,..,21.50293038,..,8449.928456,7909.58648,1.835,..,1.55E+12,-0.540546529,7980,..,1.71E+12,..,..,6.2,8.998689001,71.95609756,5.729167361,..,19.7,..,..,..,23.34915755,0.913660196,213854000,0.5,..,..,..,..,..,..,..,..,9629090,11.83762036,..,0.927239982
56.188,..,..,20.40222407,79,8522.394003,7656.263579,1.774,..,1.68E+12,-0.205464012,8510,..,1.84E+12,..,..,..,9.26262076,72.60487805,5.397912888,0,18.8,..,..,..,23.58051569,0.985986067,215973000,..,..,..,..,..,..,..,..,..,9629090,11.1858005,..,0.999564503
54.461,..,..,21.15761537,67.7,8968.775655,8100.562222,1.738,..,1.87E+12,5.388139227,8960,..,1.95E+12,..,..,..,5.503386466,72.85609756,4.988161659,0,17.9,..,..,..,23.80565042,0.950220049,218035000,..,..,..,..,..,..,..,..,..,9629090,10.74883688,..,0.963796081
52.734,..,..,21.53248401,..,9337.724018,8285.570898,1.79,..,2.08E+12,4.624159207,9590,..,2.11E+12,..,..,..,6.213360441,73.25609756,4.971381002,0,17.1,3770881,..,200000000,24.0462891,1.005771996,220239000,..,..,..,..,..,..,..,..,..,9629090,11.61864632,..,1.019346153
52.4856,..,..,21.97300469,..,9560.54541,8438.403077,1.76,..,2.35E+12,5.535302693,10760,..,2.40E+12,..,..,..,7.033833074,73.35609756,4.762811989,0,16.3,..,..,220000000,24.30243172,1.05957308,222585000,..,..,..,..,..,..,..,..,..,9629090,11.54235905,..,1.071788951
52.2372,..,..,21.78043698,..,9700.695386,8327.041705,1.808,..,2.63E+12,3.166150271,12200,..,2.75E+12,..,..,6.4,8.2965931,73.80487805,4.772422137,0,15.6,..,..,230000000,24.57211299,1.103576565,225055000,0.5,..,..,..,..,..,..,..,..,9629090,12.00380309,..,1.117147538
51.9888,..,..,20.78648774,..,9862.365497,7942.253018,1.8395,..,2.86E+12,-0.256751931,13380,..,3.04E+12,..,86,..,9.03303787,73.6097561,4.956368918,0,15,..,..,80000000,24.80903945,0.959589923,227225000,..,..,..,..,..,..,..,..,..,9629090,12.13835265,..,1.021992478
51.7404,..,..,19.76676417,..,9976.693715,7647.538054,1.812,..,3.21E+12,2.537718698,14360,..,3.30E+12,..,97,..,9.462179612,74.0097561,5.433199546,..,14.4,..,..,80000000,25.05371789,0.981415437,229466000,..,..,..,..,..,..,..,..,..,9629090,12.55050604,..,1.187337971
51.492,18.36763662,..,18.59049523,69.5,9544.460943,7259.078899,1.8275,..,3.34E+12,-1.802874453,14220,..,3.29E+12,..,97,..,6.178220382,74.36097561,6.566682446,..,13.9,3382460,..,80000000,25.29370147,0.953317566,231664000,..,..,..,..,..,..,..,..,..,9629090,11.97862664,..,1.158817769
51.8474,..,..,18.57154371,..,9742.005714,7199.118533,1.799,..,3.63E+12,4.583927316,14570,..,3.41E+12,..,98,..,3.916773325,74.46341463,6.043852204,..,13.4,..,..,80000000,25.52604226,0.914378513,233792000,..,..,..,..,..,..,..,..,..,9629090,10.34826823,..,1.119456627
52.2028,..,..,18.97675027,..,10282.37464,7443.320017,1.8065,..,4.04E+12,7.236619994,16210,..,3.82E+12,..,98,..,3.607718124,74.56341463,5.888148606,0.038445905,13,..,..,80000000,25.74801069,0.865817336,235825000,..,..,..,..,..,..,..,..,..,9629090,10.15971565,..,1.067786202
52.5582,..,..,18.88231274,..,10414.2079,7456.262903,1.844,..,4.34E+12,4.169655954,17460,..,4.15E+12,..,97,..,3.162445428,74.56341463,6.121309408,0.14146081,12.7,..,..,80000000,25.97718518,0.886129041,237924000,..,..,..,..,..,..,..,..,..,9629090,10.38424016,..,1.087690787
52.9136,..,..,18.72072272,..,10424.4273,7376.096238,1.8375,..,4.58E+12,3.462651713,19110,..,4.59E+12,..,97,5.5,2.013895829,74.61463415,6.302732032,0.280860174,12.4,..,..,908000000,26.21836977,0.924164157,240133000,0.5,..,..,..,..,..,..,..,..,9629090,10.16304589,..,1.125320221
53.269,..,..,19.35033442,..,10886.85826,7622.173017,1.872,..,4.86E+12,3.459572555,21390,..,5.18E+12,..,82,..,2.472492501,74.76585366,6.083946499,0.502281572,12.1,3366853,..,994000000,26.45376768,0.893829201,242289000,..,..,..,..,..,..,..,..,..,9629090,10.94884573,..,1.093244264
54.5174,..,..,20.01041341,74.3,11298.33251,7849.75397,1.934,..,5.24E+12,4.177046384,23490,..,5.74E+12,..,98,..,3.527436272,74.76585366,5.746437065,0.836569536,11.9,..,..,995000000,26.69506145,0.90799904,244499000,..,..,..,..,..,..,..,..,..,9629090,10.59594327,..,1.107017474
55.7658,..,99,20.07576978,..,11531.93231,7890.287202,2.014,..,5.64E+12,3.672656329,23770,..,5.87E+12,..,94,..,3.920339987,75.01707317,5.546850488,1.405118706,11.6,..,..,1020000000,26.94836532,0.944405555,246819000,..,..,..,..,..,..,..,..,..,9629090,10.78244038,..,1.140364939
57.0142,..,99.2,19.32275118,70.7,11713.3317,7671.773066,2.081,3024500,5.96E+12,1.885960323,24060,23640,6.01E+12,5.90E+12,90,..,3.743334458,75.21463415,5.278319875,2.095449994,11.2,..,..,1170000000,27.25451361,1.12965052,249623000,..,..,..,..,..,..,..,..,..,9629090,10.46528476,..,1.410256285
58.2626,..,99.2,19.05616319,..,12134.17213,7631.467806,2.0625,3025585.938,6.16E+12,-0.108259105,24270,24100,6.14E+12,6.10E+12,87,5.5,3.381755673,75.36585366,4.572179865,2.96895054,10.9,..,..,1300000000,27.62114913,1.336260741,252981000,0.5,..,..,0.9,..,..,..,..,..,9629090,10.32034243,..,1.867384399
59.511,16.5046132,99.3,19.13943728,..,12014.95825,7677.401401,2.046,3026671.875,6.52E+12,3.522442494,25680,25090,6.59E+12,6.44E+12,83,..,2.278908379,75.61707317,4.666263973,4.293056805,10.5,4463754,..,1796000000,28.00689161,1.386885692,256514000,..,..,..,..,..,..,..,..,..,9629090,9.984161837,..,1.908632997
57.8868,..,99.4,19.34708291,..,12261.52378,7709.496589,2.0195,3027758.125,6.86E+12,2.752844327,26390,25910,6.86E+12,6.73E+12,84,..,2.369280274,75.4195122,4.326936776,6.168585393,10.1,..,..,1820000000,28.37865871,1.31868,259919000,..,..,..,..,..,..,..,..,..,9629090,10.30493432,..,1.831182276
56.2626,..,99.4,19.36089205,..,12455.16217,7757.830822,2.0015,3028844.063,7.29E+12,4.028839064,27650,27250,7.28E+12,7.17E+12,89,5.3,2.13537874,75.6195122,3.941278765,9.203138701,9.8,..,..,1943000000,28.72880764,1.226296089,263126000,0.7,..,..,..,..,..,..,..,..,9629090,10.62350664,..,1.73098223
54.6384,..,99.4,19.27654526,76.4,12659.60763,7763.755106,1.978,3029930,7.64E+12,2.684287132,29040,28450,7.73E+12,7.57E+12,88,..,2.096831268,75.62195122,3.63847027,12.74143303,9.5,..,..,2179000000,29.07295151,1.190787091,266278000,..,..,..,..,..,..,..,..,..,9629090,10.98098904,..,1.686466663
53.0142,..,99.4,19.49602474,..,12854.29891,7844.468266,1.976,3031015.938,8.07E+12,3.772501319,30270,29870,8.15E+12,8.05E+12,91,..,1.831030848,76.02682927,3.350744426,16.41343526,9.2,..,..,2181000000,29.41316481,1.16341162,269394000,..,..,..,..,..,..,..,..,..,9629090,11.37391458,..,1.652782978
51.39,..,99.4,19.69036318,..,12889.83228,7828.581096,1.971,3032101.875,8.58E+12,4.447216343,31270,31500,8.53E+12,8.59E+12,91,5.3,1.724391067,76.42926829,3.209908811,20.35683377,8.9,8859954,..,2270000000,29.76942797,1.203960297,272657000,0.7,..,..,..,..,..,..,..,..,9629090,11.82819654,..,1.681975267
49.6484,..,99.4,19.5792362,..,13154.76303,7803.697605,1.999,3033188.125,9.06E+12,4.481407555,32030,33120,8.84E+12,9.14E+12,92,..,1.125520432,76.5804878,3.017625314,25.15099311,8.7,..,..,2437000000,30.11848507,1.165714526,275854000,..,..,..,..,..,..,..,..,..,9629090,12.32982913,..,1.637627657
47.9068,..,99.4,19.72716951,..,13281.86998,7923.223893,2.0075,3034274.063,9.63E+12,4.753235989,33670,34720,9.39E+12,9.69E+12,92,..,1.443803419,76.58292683,2.908401135,30.89124914,8.6,..,..,4246000000,30.46634116,1.148340047,279040000,..,..,..,..,..,..,..,..,..,9629090,12.26062892,..,1.612956772
46.1652,..,99.4,20.17875051,..,13671.05202,8056.86385,2.056,3035360,1.03E+13,4.127484014,35960,36800,1.01E+13,1.04E+13,91,5.4,2.235474409,76.63658537,2.933440288,38.86183584,8.4,..,..,4395000000,30.79730133,1.112768997,282162411,0.7,..,..,..,..,..,..,..,..,9632030,12.96903235,..,1.512011391
44.4236,..,99.4,19.63650507,..,13046.61415,7827.886325,2.0305,3037801.875,1.06E+13,0.998340795,36710,37700,1.05E+13,1.07E+13,91,..,2.193425342,76.83658537,2.944343368,45.14982121,8.3,..,..,4513000000,31.10362839,0.989741382,284968955,..,..,..,1.1,..,..,..,..,..,9632030,11.85782535,..,1.213380422
42.682,16.80269695,99.5,19.61340408,72.8,13296.1823,7843.344849,2.0205,3040244.063,1.09E+13,1.74169525,37310,38430,1.07E+13,1.11E+13,91,..,1.581763007,76.93658537,3.249548509,49.35962707,8.2,5334893,..,4570000000,31.39354993,0.927797486,287625193,..,..,..,..,..,..,..,..,..,9632030,9.861419855,..,1.148418847
42.0618,..,99.3,19.56410453,..,13307.49201,7794.23553,2.0475,3042685.938,1.15E+13,2.861210767,39770,39740,1.15E+13,1.15E+13,93,..,1.857095203,77.03658537,3.60728628,55.42732036,8.1,..,..,4672000000,31.66453462,0.859481713,290107933,..,..,..,..,..,..,..,..,..,9632030,9.389222393,..,1.078360384
